phase,link,service,protocol,mode,fallback_chain,estimated_latency_ms,rationale
2,core-0,core-0:otn,otn,PQC_ONLY,,3.373,selected PQC_ONLY: score 4.08; Mosca margin +3 y; assurance=high; QKD route=qualified route
2,core-0,core-0:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,6.863,selected PQT_HYBRID: score 4.78; Mosca margin +2 y; assurance=high; QKD route=qualified route
2,core-1,core-1:otn,otn,PQC_ONLY,,3.831,selected PQC_ONLY: score 4.02; Mosca margin +3 y; assurance=high; QKD route=trusted-node policy limit exceeded
2,core-1,core-1:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,8.695,selected PQT_HYBRID: score 4.61; Mosca margin +7 y; assurance=high; QKD route=trusted-node policy limit exceeded
2,core-2,core-2:otn,otn,PQC_ONLY,,3.052,selected PQC_ONLY: score 4.11; Mosca margin +3 y; assurance=high; QKD route=insufficient approved trusted sites
2,core-2,core-2:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,5.577,selected PQT_HYBRID: score 4.89; Mosca margin +7 y; assurance=high; QKD route=insufficient approved trusted sites
2,core-3,core-3:otn,otn,PQC_ONLY,,3.221,selected PQC_ONLY: score 4.09; Mosca margin +3 y; assurance=high; QKD route=qualified route
2,core-3,core-3:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,6.252,selected PQT_HYBRID: score 4.83; Mosca margin +2 y; assurance=high; QKD route=qualified route
2,core-4,core-4:otn,otn,PQC_ONLY,,3.505,selected PQC_ONLY: score 4.06; Mosca margin +3 y; assurance=high; QKD route=no qualified optical path
2,core-4,core-4:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,7.392,selected PQT_HYBRID: score 2.73; Mosca margin -3 y; assurance=high; QKD route=no qualified optical path
2,core-5,core-5:otn,otn,PQC_ONLY,,3.691,selected PQC_ONLY: score 4.04; Mosca margin +3 y; assurance=high; QKD route=insufficient approved trusted sites
2,core-5,core-5:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,8.136,selected PQT_HYBRID: score 4.66; Mosca margin +7 y; assurance=high; QKD route=insufficient approved trusted sites
2,metro0-0,metro0-0:macsec,macsec,PQT_HYBRID,PQC_ONLY,0.986,selected PQT_HYBRID: score 3.20; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
2,metro0-0,metro0-0:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.621,selected PQT_HYBRID: score 3.31; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro0-1,metro0-1:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.254,selected PQT_HYBRID: score 3.15; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro0-1,metro0-1:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.158,selected PQT_HYBRID: score 3.23; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro0-2,metro0-2:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.226,selected PQT_HYBRID: score 5.15; Mosca margin +6 y; assurance=high; QKD route=qualified route
2,metro0-2,metro0-2:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.102,selected PQT_HYBRID: score 5.24; Mosca margin +3 y; assurance=standard; QKD route=qualified route
2,metro0-3,metro0-3:macsec,macsec,PQT_HYBRID,PQC_ONLY,0.946,selected PQT_HYBRID: score 3.21; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
2,metro0-3,metro0-3:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.543,selected PQT_HYBRID: score 3.32; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro0-4,metro0-4:macsec,macsec,PQT_HYBRID,PQC_ONLY,0.945,selected PQT_HYBRID: score 3.21; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
2,metro0-4,metro0-4:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.539,selected PQT_HYBRID: score 3.32; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro1-0,metro1-0:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.073,selected PQT_HYBRID: score 3.19; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
2,metro1-0,metro1-0:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.797,selected PQT_HYBRID: score 3.29; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro1-1,metro1-1:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.207,selected PQT_HYBRID: score 5.16; Mosca margin +1 y; assurance=standard; QKD route=no qualified optical path
2,metro1-1,metro1-1:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.063,selected PQT_HYBRID: score 3.25; Mosca margin -2 y; assurance=standard; QKD route=no qualified optical path
2,metro1-2,metro1-2:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.217,selected PQT_HYBRID: score 3.16; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
2,metro1-2,metro1-2:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.084,selected PQT_HYBRID: score 3.25; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro1-3,metro1-3:macsec,macsec,PQT_HYBRID,PQC_ONLY,0.975,selected PQT_HYBRID: score 3.21; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
2,metro1-3,metro1-3:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.599,selected PQT_HYBRID: score 3.31; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro1-4,metro1-4:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.117,selected PQT_HYBRID: score 3.18; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro1-4,metro1-4:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.885,selected PQT_HYBRID: score 3.27; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro2-0,metro2-0:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.219,selected PQT_HYBRID: score 3.16; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
2,metro2-0,metro2-0:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.088,selected PQT_HYBRID: score 3.24; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,metro2-1,metro2-1:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.183,selected PQT_HYBRID: score 5.16; Mosca margin +6 y; assurance=standard; QKD route=no qualified optical path
2,metro2-1,metro2-1:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.016,selected PQT_HYBRID: score 5.25; Mosca margin +3 y; assurance=standard; QKD route=no qualified optical path
2,metro2-2,metro2-2:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.332,selected PQT_HYBRID: score 5.13; Mosca margin +6 y; assurance=high; QKD route=qualified route
2,metro2-2,metro2-2:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.314,selected PQT_HYBRID: score 5.21; Mosca margin +3 y; assurance=standard; QKD route=qualified route
2,metro2-3,metro2-3:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.23,selected PQT_HYBRID: score 5.15; Mosca margin +6 y; assurance=standard; QKD route=no qualified optical path
2,metro2-3,metro2-3:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.111,selected PQT_HYBRID: score 5.24; Mosca margin +3 y; assurance=standard; QKD route=no qualified optical path
2,metro2-4,metro2-4:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.112,selected PQT_HYBRID: score 3.18; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
2,metro2-4,metro2-4:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.873,selected PQT_HYBRID: score 3.28; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
2,dci-0,dci-0:otn,otn,PQC_ONLY,,1.919,selected PQC_ONLY: score 3.97; Mosca margin +16 y; assurance=high; QKD route=qualified route
2,dci-0,dci-0:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.199,selected PQT_HYBRID: score 5.06; Mosca margin +6 y; assurance=high; QKD route=qualified route
2,dci-0,dci-0:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.047,selected PQT_HYBRID: score 5.14; Mosca margin +16 y; assurance=high; QKD route=qualified route
2,dci-1,dci-1:otn,otn,PQC_ONLY,,1.907,selected PQC_ONLY: score 3.97; Mosca margin +16 y; assurance=high; QKD route=qualified route
2,dci-1,dci-1:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.175,selected PQT_HYBRID: score 5.06; Mosca margin +6 y; assurance=high; QKD route=qualified route
2,dci-1,dci-1:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.999,selected PQT_HYBRID: score 5.15; Mosca margin +16 y; assurance=high; QKD route=qualified route
2,acc-0,acc-0:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.336,selected PQT_HYBRID: score 3.39; Mosca margin -9 y; assurance=standard; QKD route=no qualified optical path
2,acc-1,acc-1:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.584,selected PQT_HYBRID: score 3.38; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
2,acc-2,acc-2:ipsec,ikev2,TRADITIONAL_ONLY,,0.364,selected TRADITIONAL_ONLY: score -0.11; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
2,acc-3,acc-3:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.631,selected PQT_HYBRID: score 3.37; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
2,acc-4,acc-4:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.356,selected PQT_HYBRID: score 3.39; Mosca margin -9 y; assurance=standard; QKD route=no qualified optical path
2,acc-5,acc-5:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.382,selected PQT_HYBRID: score 3.38; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
2,acc-6,acc-6:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.375,selected PQT_HYBRID: score 3.38; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
2,acc-7,acc-7:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.526,selected PQT_HYBRID: score 3.38; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
2,acc-8,acc-8:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.333,selected PQT_HYBRID: score 3.39; Mosca margin -5 y; assurance=standard; QKD route=no qualified optical path
2,acc-9,acc-9:ipsec,ikev2,TRADITIONAL_ONLY,,0.32,selected TRADITIONAL_ONLY: score -0.11; Mosca margin -5 y; assurance=standard; QKD route=no qualified optical path
2,acc-10,acc-10:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.48,selected PQT_HYBRID: score 3.38; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
2,acc-11,acc-11:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.623,selected PQT_HYBRID: score 3.38; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
3,core-0,core-0:otn,otn,QKD_ASSISTED,PQC_ONLY,3.808,selected QKD_ASSISTED: score 4.66; Mosca margin +3 y; assurance=high; QKD route=qualified route
3,core-0,core-0:ipsec,ikev2,PQT_QKD_COMBINED,PQT_HYBRID>QKD_ASSISTED>PQC_ONLY,7.278,selected PQT_QKD_COMBINED: score 5.02; Mosca margin +2 y; assurance=high; QKD route=qualified route
3,core-1,core-1:otn,otn,PQC_ONLY,,3.831,selected PQC_ONLY: score 4.02; Mosca margin +3 y; assurance=high; QKD route=trusted-node policy limit exceeded
3,core-1,core-1:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,8.695,selected PQT_HYBRID: score 4.61; Mosca margin +7 y; assurance=high; QKD route=trusted-node policy limit exceeded
3,core-2,core-2:otn,otn,PQC_ONLY,,3.052,selected PQC_ONLY: score 4.11; Mosca margin +3 y; assurance=high; QKD route=insufficient approved trusted sites
3,core-2,core-2:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,5.577,selected PQT_HYBRID: score 4.89; Mosca margin +7 y; assurance=high; QKD route=insufficient approved trusted sites
3,core-3,core-3:otn,otn,QKD_ASSISTED,PQC_ONLY,3.656,selected QKD_ASSISTED: score 4.85; Mosca margin +3 y; assurance=high; QKD route=qualified route
3,core-3,core-3:ipsec,ikev2,PQT_QKD_COMBINED,QKD_ASSISTED>PQT_HYBRID>PQC_ONLY,6.667,selected PQT_QKD_COMBINED: score 5.25; Mosca margin +2 y; assurance=high; QKD route=qualified route
3,core-4,core-4:otn,otn,PQC_ONLY,,3.505,selected PQC_ONLY: score 4.06; Mosca margin +3 y; assurance=high; QKD route=no qualified optical path
3,core-4,core-4:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,7.392,selected PQT_HYBRID: score 2.73; Mosca margin -3 y; assurance=high; QKD route=no qualified optical path
3,core-5,core-5:otn,otn,PQC_ONLY,,3.691,selected PQC_ONLY: score 4.04; Mosca margin +3 y; assurance=high; QKD route=insufficient approved trusted sites
3,core-5,core-5:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,8.136,selected PQT_HYBRID: score 4.66; Mosca margin +7 y; assurance=high; QKD route=insufficient approved trusted sites
3,metro0-0,metro0-0:macsec,macsec,PQT_HYBRID,PQC_ONLY,0.986,selected PQT_HYBRID: score 3.20; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
3,metro0-0,metro0-0:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.621,selected PQT_HYBRID: score 3.31; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
3,metro0-1,metro0-1:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.254,selected PQT_HYBRID: score 3.15; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
3,metro0-1,metro0-1:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.158,selected PQT_HYBRID: score 3.23; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
3,metro0-2,metro0-2:macsec,macsec,PQT_QKD_COMBINED,QKD_ASSISTED>PQT_HYBRID>PQC_ONLY,1.641,selected PQT_QKD_COMBINED: score 6.07; Mosca margin +6 y; assurance=high; QKD route=qualified route
3,metro0-2,metro0-2:ipsec,ikev2,PQT_HYBRID,PQC_ONLY>PQT_QKD_COMBINED>QKD_ASSISTED,1.102,selected PQT_HYBRID: score 5.24; Mosca margin +3 y; assurance=standard; QKD route=qualified route
3,metro0-3,metro0-3:macsec,macsec,PQT_HYBRID,PQC_ONLY,0.946,selected PQT_HYBRID: score 3.21; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
3,metro0-3,metro0-3:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.543,selected PQT_HYBRID: score 3.32; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
3,metro0-4,metro0-4:macsec,macsec,PQT_HYBRID,PQC_ONLY,0.945,selected PQT_HYBRID: score 3.21; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
3,metro0-4,metro0-4:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.539,selected PQT_HYBRID: score 3.32; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
3,metro1-0,metro1-0:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.073,selected PQT_HYBRID: score 3.19; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
3,metro1-0,metro1-0:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.797,selected PQT_HYBRID: score 3.29; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
3,metro1-1,metro1-1:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.207,selected PQT_HYBRID: score 5.16; Mosca margin +1 y; assurance=standard; QKD route=no qualified optical path
3,metro1-1,metro1-1:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.063,selected PQT_HYBRID: score 3.25; Mosca margin -2 y; assurance=standard; QKD route=no qualified optical path
3,metro1-2,metro1-2:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.217,selected PQT_HYBRID: score 3.16; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
3,metro1-2,metro1-2:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.084,selected PQT_HYBRID: score 3.25; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
3,metro1-3,metro1-3:macsec,macsec,PQT_HYBRID,PQC_ONLY,0.975,selected PQT_HYBRID: score 3.21; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
3,metro1-3,metro1-3:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.599,selected PQT_HYBRID: score 3.31; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
3,metro1-4,metro1-4:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.117,selected PQT_HYBRID: score 3.18; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
3,metro1-4,metro1-4:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.885,selected PQT_HYBRID: score 3.27; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
3,metro2-0,metro2-0:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.219,selected PQT_HYBRID: score 3.16; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
3,metro2-0,metro2-0:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.088,selected PQT_HYBRID: score 3.24; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
3,metro2-1,metro2-1:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.183,selected PQT_HYBRID: score 5.16; Mosca margin +6 y; assurance=standard; QKD route=no qualified optical path
3,metro2-1,metro2-1:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.016,selected PQT_HYBRID: score 5.25; Mosca margin +3 y; assurance=standard; QKD route=no qualified optical path
3,metro2-2,metro2-2:macsec,macsec,PQT_QKD_COMBINED,QKD_ASSISTED>PQT_HYBRID>PQC_ONLY,1.747,selected PQT_QKD_COMBINED: score 6.05; Mosca margin +6 y; assurance=high; QKD route=qualified route
3,metro2-2,metro2-2:ipsec,ikev2,PQT_HYBRID,PQC_ONLY>PQT_QKD_COMBINED>QKD_ASSISTED,1.314,selected PQT_HYBRID: score 5.21; Mosca margin +3 y; assurance=standard; QKD route=qualified route
3,metro2-3,metro2-3:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.23,selected PQT_HYBRID: score 5.15; Mosca margin +6 y; assurance=standard; QKD route=no qualified optical path
3,metro2-3,metro2-3:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,1.111,selected PQT_HYBRID: score 5.24; Mosca margin +3 y; assurance=standard; QKD route=no qualified optical path
3,metro2-4,metro2-4:macsec,macsec,PQT_HYBRID,PQC_ONLY,1.112,selected PQT_HYBRID: score 3.18; Mosca margin -4 y; assurance=standard; QKD route=no qualified optical path
3,metro2-4,metro2-4:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.873,selected PQT_HYBRID: score 3.28; Mosca margin -7 y; assurance=standard; QKD route=no qualified optical path
3,dci-0,dci-0:otn,otn,QKD_ASSISTED,PQC_ONLY,2.354,selected QKD_ASSISTED: score 5.21; Mosca margin +16 y; assurance=high; QKD route=qualified route
3,dci-0,dci-0:macsec,macsec,PQT_QKD_COMBINED,QKD_ASSISTED>PQT_HYBRID>PQC_ONLY,1.614,selected PQT_QKD_COMBINED: score 5.94; Mosca margin +6 y; assurance=high; QKD route=qualified route
3,dci-0,dci-0:ipsec,ikev2,PQT_QKD_COMBINED,QKD_ASSISTED>PQT_HYBRID>PQC_ONLY,1.462,selected PQT_QKD_COMBINED: score 6.03; Mosca margin +16 y; assurance=high; QKD route=qualified route
3,dci-1,dci-1:otn,otn,QKD_ASSISTED,PQC_ONLY,2.342,selected QKD_ASSISTED: score 5.21; Mosca margin +16 y; assurance=high; QKD route=qualified route
3,dci-1,dci-1:macsec,macsec,PQT_QKD_COMBINED,QKD_ASSISTED>PQT_HYBRID>PQC_ONLY,1.59,selected PQT_QKD_COMBINED: score 5.95; Mosca margin +6 y; assurance=high; QKD route=qualified route
3,dci-1,dci-1:ipsec,ikev2,PQT_QKD_COMBINED,QKD_ASSISTED>PQT_HYBRID>PQC_ONLY,1.414,selected PQT_QKD_COMBINED: score 6.05; Mosca margin +16 y; assurance=high; QKD route=qualified route
3,acc-0,acc-0:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.336,selected PQT_HYBRID: score 3.39; Mosca margin -9 y; assurance=standard; QKD route=no qualified optical path
3,acc-1,acc-1:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.584,selected PQT_HYBRID: score 3.38; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
3,acc-2,acc-2:ipsec,ikev2,TRADITIONAL_ONLY,,0.364,selected TRADITIONAL_ONLY: score -0.11; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
3,acc-3,acc-3:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.631,selected PQT_HYBRID: score 3.37; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
3,acc-4,acc-4:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.356,selected PQT_HYBRID: score 3.39; Mosca margin -9 y; assurance=standard; QKD route=no qualified optical path
3,acc-5,acc-5:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.382,selected PQT_HYBRID: score 3.38; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
3,acc-6,acc-6:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.375,selected PQT_HYBRID: score 3.38; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
3,acc-7,acc-7:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.526,selected PQT_HYBRID: score 3.38; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
3,acc-8,acc-8:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.333,selected PQT_HYBRID: score 3.39; Mosca margin -5 y; assurance=standard; QKD route=no qualified optical path
3,acc-9,acc-9:ipsec,ikev2,TRADITIONAL_ONLY,,0.32,selected TRADITIONAL_ONLY: score -0.11; Mosca margin -5 y; assurance=standard; QKD route=no qualified optical path
3,acc-10,acc-10:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.48,selected PQT_HYBRID: score 3.38; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
3,acc-11,acc-11:ipsec,ikev2,PQT_HYBRID,PQC_ONLY,0.623,selected PQT_HYBRID: score 3.38; Mosca margin -8 y; assurance=standard; QKD route=no qualified optical path
